PREGUNTA	RESPUESTA
¿CÓMO SE LLAMA LA VÍA DE NAVEGACIÓN ARTIFICIAL SITUADA EN EGIPTO QUE UNE EL MAR MEDITERRÁNEO CON EL MAR ROJO?	CANAL DE SUEZ
¿QUIÉN ESCRIBIÓ LA NOVELA JUGUETE RABIOSO?	ROBERTO ARLT
¿CÓMO SE LLAMA LA IMPORTANTE CIUDAD PERUANA QUE SE ENCUENTRA CERCANA A MACHU PICCHU?	CUZCO
¿A QUÉ EDAD FALLECIÓ EL CANTANTE RODRIGO BUENO?	27 AÑOS
¿EN QUÉ ACTUAL PAÍS NACIÓ EL RECORDADO CONDUCTOR TELEVISIVO ANTE GARMAZ?	CROACIA
¿QUIÉN ERA PRESIDENTE DE ARGENTINA CUANDO SE ADQUIRIÓ EL AVIÓN PRESIDENCIAL TANGO 01?	CARLOS MENEM
¿DE QUÉ EQUIPO DE FÚTBOL ES HINCHA EL PAPA FRANCISCO?	SAN LORENZO
¿QUÉ RELACIÓN DE PARENTESCO TIENE DIEGO TORRES CON LA ACTRIZ Y CANTANTE ÁNGELA TORRES?	TÍO Y SOBRINA
¿EN QUÉ ACTIVIDAD SE DESTACÓ RENÉ LAVAND?	EN LA MAGIA
¿CON QUÉ NOMBRE SE CONOCE POPULARMENTE AL MAÍZ UTILIZADO PARA HACER POCHOCLO?	MAÍZ PISINGALLO
¿DE CUÁNTA PLATA HABLO SI DIGO UNA LUCA?	MIL PESOS
EL VINO TORRONTÉS, ¿ES UN VINO BLANCO O UN VINO TINTO?	VINO BLANCO
¿A QUÉ HACE ALUSIÓN, LA PALABRA EN LUNFARDO GASOLERO?	CUIDA SU ECONOMÍA
¿QUÉ FAMOSA CANTANTE Y ACTRIZ INTERPRETÓ A EVA PERÓN EN LA PELÍCULA EVITA, DIRIGIDA POR ALAN PARKER?	MADONNA
¿QUIÉN HIZO LA TAPA DE LA PRIMERA EDICIÓN DE LA REVISTA PLAYBOY?	MARILYN MONROE
¿QUÉ SIGNIFICA TENER UNA RELACIÓN EPISTOLAR CON ALGUIEN?	QUE SE COMUNICAN POR CARTA
EN EL FAMOSO DIBUJO ANIMADO, ¿CÓMO SE LLAMA EL GATO QUE INTENTA SIEMPRE ATRAPAR A TWEETY?	SILVESTRE
¿EN QUÉ DEPORTE LAS CONVERSIONES SE CUENTAN COMO DOBLE, TRIPLE Y TIRO LIBRE?	BÁSQUET
¿CUÁNTOS SON LOS CHANCHITOS QUE ESCAPAN DEL LOBO EN EL FAMOSO CUENTO INFANTIL?	3
¿EN LA INTERSECCIÓN DE LA 9 DE JULIO CON QUÉ OTRA AVENIDA ESTÁ EL OBELISCO?	CORRIENTES
¿DE QUÉ MINISTERIO DEPENDE LA PREFECTURA NAVAL ARGENTINA?	MINISTERIO DE SEGURIDAD
¿QUÉ MÍTICO EDIFICIO DE NUEVA YORK ESCALÓ KING-KONG EN SU PELÍCULA ORIGINAL?	EL EMPIRESTATE
¿CON QUÉ NOMBRE SE CONOCE A LA TÍPICA DANZA REALIZADA POR LOS ALLBLACKS ANTES DE CADA PARTIDO?	HAKA
EN LA POPULAR NOVELA, ¿CONTRA QUÉ ESTRUCTURAS LUCHA DON QUIJOTE?	MOLINOS DE VIENTO
¿QUIÉN FUE EL TÉCNICO DE LA SELECCIÓN ARGENTINA DURANTE EL MUNDIAL DE BRASIL 2014?	ALEJANDRO SABELLA
¿DE QUÉ CIUDAD DEL CONURBANO ES INTENDENTE EL COCINERO MARTINIANO MOLINA?	QUILMES
¿QUÉ PERSONAJE DE CHESPIRITO TOMA LA PASTILLA DE CHIQUITOLINA?	EL CHAPULÍN COLORADO
¿EN QUÉ PROVINCIA ARGENTINA SE ENCUENTRA EL PARQUE NACIONAL TALAMPAYA?	LA RIOJA
SEGÚN LOS NÚMEROS DE LA QUINIELA, ¿QUÉ ES EL 48?	EL MUERTO QUE HABLA
¿CON QUIÉN COMPARTIÓ FÓRMULA PRESIDENCIAL CARLOS MENEM EN LAS ELECCIONES DE 1989?	EDUARDO DUHALDE
¿QUIÉN FUE EL CANDIDATO POR EL FRENTE PARA LA VICTORIA EN LAS ELECCIONES A GOBERNADOR POR LA PROVINCIA DE BUENOS AIRES EN 2015?	ANÍBAL FERNÁNDEZ
¿QUÉ ES UN QUELOIDE?	UN TIPO DE CICATRIZ
¿POR SU LABOR EN QUÉ PELÍCULA GANÓ EL OSCAR COMO MEJOR ACTOR LEONARDO DICAPRIO?	EL RENACIDO
¿A QUÉ DIBUJOS ANIMADOS PERTENECEN LOS PERSONAJES PIERRE &amp;lt;PIER&amp;gt;NODOYUNA, PATÁN Y PENÉLOPE GLAMOUR?	LOS AUTOS LOCOS
¿QUÉ DISCAPACIDAD TENÍA EL MÚSICO RAY CHARLES?	NO PODÍA VER
¿CON QUÉ PAÍS ESTÁ ASOCIADA LA MAFIA CONOCIDA COMO LOS YAKUZA?	JAPÓN
¿QUIÉN ERA PRESIDENTE CUANDO EL DIPUTADO MARTÍN LOUSTEAU FUE MINISTRO DE ECONOMÍA?	CRISTINA FERNÁNDEZ
¿EN QUÉ CIUDAD COLOMBIANA NACIÓ LA CANTANTE SHAKIRA?	EN BARRANQUILLA
¿EN QUÉ CONTINENTE SE ENCUENTRA EL RÍO ÉUFRATES?	ASIA
¿QUIÉN PROTAGONIZÓ LA SERIE TELEVISIVA SOBRE UNA CORREDORA DE AUTOS QUE SE LLAMABA CAROLA CASINI?	ARACELI GONZÁLES
¿CUÁL ES EL CONTINENTE CON MAYOR CANTIDAD DE HABITANTES?	ASIA
¿SOBRE QUÉ TEMA TRATAN LAS LEYES DE MENDEL?	HERENCIA GENÉTICA
¿DE QUÉ CLUB DE FÚTBOL CORDOBÉS ERA HINCHA EL POTRO RODRIGO?	DE BELGRANO
¿DE QUÉ GÉNERO MUSICAL FUE UNO DE LOS MAYORES EXPONENTES B. B. KING?	BLUES
¿CERCA DE QUÉ OCÉANO SE ENCUENTRA LA FALLA DE SAN ANDRÉS?	PACÍFICO
¿CUÁL ERA EL NOMBRE DE PILA DEL NEGRO FONTANARROSA?	ROBERTO
¿A QUÉ FRUTA LLAMAN MELANCIA EN BRASIL?	SANDÍA
¿EN QUÉ MUSEO SE ENCUENTRA LA VENUS DE MILO?	MUSEO DE LOUVRE
¿EN QUÉ PROVINCIA DEL SUR ARGENTINO SE ENCUENTRA LA CIUDAD DE RÍO GRANDE?	TIERRA DEL FUEGO
¿A QUÉ HACE REFERENCIA LA ACCIÓN DE ACICALARSE?	A LIMPIARSE
¿CUÁL ES EL TIPO DE CÉLULA QUE NO TIENE UN NÚCLEO DEFINIDO?	PROCARIOTA
EN LA PELÍCULA VOLVER AL FUTURO, ¿QUÉ LE DECÍAN AL PERSONAJE MARTYMCFLY QUE LO HACÍA REACCIONAR?	GALLINA
¿QUÉ PARTIDO POLÍTICO LIDERA EL PRESIDENTE DE BOLIVIA EVO MORALES?	MOVIMIENTO AL SOCIALISMO
¿QUIÉN FUE EL TÉCNICO DE LA SELECCIÓN ARGENTINA EN EL MUNDIAL DE KOREA-JAPÓN DEL AÑO 2002?	MARCELO BIELSA
¿A QUÉ TENISTA ARGENTINO SE LE ADJUDICA HABER INVENTADO LA JUGADA LLAMA GRAN WILLY?	GUILLERMO VILAS
¿CUÁL ES EL ANTÓNIMO DE UTOPÍA?	DISTOPÍA
¿CON QUÉ NOMBRE SE AUTODENOMINÓ EL GOLPE DE ESTADO QUE DERROCÓ A PERÓN EN 1955?	REVOLUCIÓN LIBERTADORA
¿EN QUÉ PAÍS NACIÓ EL FAMOSO CANTANTE LUIS FONSI?	PUERTO RICO
¿QUÉ ES LA CULEBRILLA?	UNA ENFERMEDAD DE LA PIEL
¿DE QUÉ PAÍS FUE REINA MARÍA ANTONIETA?	FRANCIA
¿CUÁNTAS PROVINCIAS ARGENTINAS TIENEN COSTAS SOBRE EL MAR?	5
¿CUÁL ES EL NOMBRE DE PILA DEL MUÑECO MATEYCO?	JUAN ALBERTO
¿CON QUÉ ANIMAL SE SUELE COMPARAR A UNA PERSONA QUE ESCUPE?	GUANACO
¿A QUÉ CANTANTE DE TANGO LE DECÍAN EL ZORZAL CRIOLLO?	CARLOS GARDEL
¿CUÁL ES LA CAPITAL DE LA INDIA?	NUEVA DELHI
¿EN QUÉ PARTE DE LA CASA SE ENCUENTRE GENERALMENTE EL ZAGUÁN?	PRÓXIMO A AL ENTRADA
¿QUÉ ES EL CIGÜEÑAL?	PARTE DEL AUTO
¿CUÁL ES LA CAPITAL DE POLONIA?	VARSOVIA
¿QUÉ ESTUDIA LA TEOLOGÍA?	TEMAS RELACIONADOS CON DIOS
¿CÓMO SE LLAMA LA ESPOSA DE PALITO ORTEGA?	EVANGELINA SALAZAR
¿CUÁL DE LOS SIGUIENTE ES UN ESTADO LIBRE ASOCIADO A LOS ESTADOS UNIDOS?	PUERTO RICO
¿CÓMO SE LLAMA LA BIBLIOTECA NACIONAL DE LA REPÚBLICA ARGENTINA?	MARIANO MORENO
¿CÓMO SE LLAMABA EL BOXEADOR QUE INTERPRETABA OSVALDO LAPORT EN LA SERIE CAMPEONES DE LA VIDA?	GUIDO GUEVARA
¿CÓMO SE SUELE LLAMAR A LOS PARCHES DE LA ROPA QUE SE USAN EN LAS RODILLAS O LOS CODOS?	PITUCONES
¿CUÁNTAS VECES FUE ELEGIDO BILL CLINTON COMO PRESIDENTE DE LOS ESTADOS UNIDOS?	DOS
¿CÓMO SE LLAMABAN LOS PERSONAJES PROTAGONISTAS DE LA RECORDADA SERIE ESTADOUNIDENSE BLANCO Y NEGRO?	ARNOLD Y WILLIS
¿QUIÉN DIRIGIÓ Y PROTAGONIZÓ LA PELÍCULA LA VIDA ES BELLA?	ROBERTO BENIGNI
¿QUÉ BEBIDA ALCOHÓLICA SE UTILIZA PARA PREPARAR UNA CAIPIRIÑA?	CACHAZA
¿CÓMO ES CONOCIDO EL SIGLO EN EL QUE OCURRIÓ EL MOVIMIENTO CULTURAL E INTELECTUAL EUROPEO LA ILUSTRACIÓN?	SIGLO DE LAS LUCES
¿QUÉ SIGNIFICAN LAS SIGLAS FMI?	FONDO MONETARIO INTERNACIONAL
¿DE QUÉ TRATA EL LIBRO DE DOÑA PETRONA?	RECETAS DE COCINA
¿CUÁNDO UN DELITO PUEDE SER CALIFICADO COMO CULPOSO?	CUANDO NO HUBO INTENCIÓN DE COMETERLO
¿CÓMO SOLÍA LLAMAR SUSANA GIMÉNEZ AL PIANISTA DE SU PROGRAMA?	MAESTRULI
¿CUÁNTOS MUNDIALES LLEVA JUGADOS LIONEL MESSI CON LA SELECCIÓN MAYOR?	4
¿CONTRA QUÉ SELECCIÓN PERDIÓ ARGENTINA LAS ÚLTIMAS DOS FINALES DE LA COPA AMÉRICA?	CHILE
¿CÓMO SE LLAMABA EL DINOSAURIO VERDE QUE ESTABA JUNTO A MARCELO TINELLI EN VIDEOMATCH EN LA DÉCADA DEL 90?	BERNARDO
¿DE QUÉ PROVINCIA ERA ORIUNDO EL EX PRESIDENTE ARTURO FRONDIZI?	CORRIENTES
¿EN CUÁL DE LOS SIGUIENTES DEPORTES SE EJECUTA UN CÓRNER CORTO?	HOCKEY SOBRE CÉSPED
¿QUÉ ANIMAL VISITA A LOS CHICOS CUANDO SE LES CAEN LOS DIENTES?	EL RATÓN PÉREZ
SEGÚN EL MARTÍN FIERRO, ¿QUÉ PASA SI LOS HERMANOS SE PELEAN ENTRE ELLOS?	LOS DEVORAN LOS DE AFUERA
¿EN EL LÍMITE DE QUÉ PAÍSES SE ENCUENTRA EL VOLCÁN COPAHUE?	ARGENTINA- CHILE
¿EN QUÉ AÑO SE SANCIONÓ LA LEY SÁENZ PEÑA?	1912
¿CUÁL ES LA CAPITAL DE NICARAGUA?	MANAGUA
¿DE QUÉ PAÍS ES EL EX FUTBOLISTA APODADO EL PIBE VALDERRAMA?	COLOMBIA
¿CÓMO SE LLAMA EL INSTRUMENTO ACÚSTICO USADO EN MEDICINA PARA OÍR LOS SONIDOS INTERNOS DEL CUERPO?	ESTETOSCOPIO
¿EN QUÉ PAÍS SE REALIZAN Y ENTREGAN LOS PREMIOS GOYA?	ESPAÑA
¿DE QUÉ COLOR ES EL PELO DEL FAMOSO MUÑECO CHUCKY?	NARANJA
¿A QUÉ PUEBLO SE LLAMABA HELENOS?	GRIEGOS
¿A QUÉ SELECCIÓN LE GANÓ ARGENTINA LA FINAL DEL MUNDIAL DE MÉXICO 86?	ALEMANIA
¿CÓMO SE LLAMAN LOS PERÍODOS EN LOS QUE SE DIVIDE UN PARTIDO DE BÁSQUET?	CUARTOS
¿QUÉ PRESIDENTE FIRMÓ EL DECRETO QUE LE OTORGÓ A TODAS LAS MUJERES DEL PAÍS EL DERECHO AL VOTO?	JUAN DOMINGO PERÓN
¿CUÁNDO SE DICE QUE ALGUIEN ES COTERRÁNEO?	CUANDO ES DEL MISMO PAÍS
¿EN QUÉ MES DE 2001 SE ANUNCIÓ EL LLAMADO CORRALITO EN LA ARGENTINA?	DICIEMBRE
¿QUIÉN ERA EL CANTANTE Y LÍDER DE LA BANDA PESCADO RABIOSO?	LUIS ALBERTO SPINETTA
¿EN QUÉ PROVINCIA NACIÓ ALBERTO OLMEDO?	SANTA FE
¿QUÉ PERSONAJE TELEVISIVO DECÍA NO CONTABAN CON MI ASTUCIA?	EL CHAPULÍN COLORADO
¿QUÉ ACTORES ARGENTINOS PROTAGONIZABAN LA SERIE 099 CENTRAL?	FACUNDO ARANA Y NANCY DUPLÁA
¿DÓNDE SE ENCUENTRAN LOS VOLCANES CHAITÉN, PUYEHUE Y LANÍN?	CORDILLERA DE LOS ANDES
¿DE QUÉ MATERIAL METÁLICO ESTÁN HECHAS LAS LATAS DE GASEOSAS?	ALUMINIO
¿CÓMO SE DENOMINA AL PAPEL UTILIZADO PARA IMPRIMIR BILLETES?	PAPEL MONEDA
¿QUIÉN ES EL AUTOR DEL LIBRO TITULADO OPERACIÓN MASACRE?	RODOLFO WALSH
¿CÓMO SE LLAMA LA CIUDAD FICTICIA DONDE VIVE CLARK KENT?	METRÓPOLIS
¿CUÁL DE ESTAS CANCIONES PERTENECE AL TRÍO DE PAYASOS GABY, FOFÓ Y MILIKI?	LA GALLINA TURULECA
¿DESDE QUÉ PUERTO ZARPÓ EL TITANIC EN SU VIAJE INAUGURAL?	PUERTO DE SOUTHAMPTON
¿LA CAPITAL DE QUÉ PAÍS AFRICANO ES DAKAR?	SENEGAL
¿QUÉ ANIMAL SE ENCUENTRA EN EL NUEVO BILLETE DE 50 PESOS ARGENTINOS?	CÓNDOR ANDINO
SEGÚN CUENTA LA TRADICIÓN, ¿EN QUÉ PAÍS SE INVENTÓ LA SALSA GOLF?	ARGENTINA
¿QUÉ ROEDOR SEMIACUÁTICO ES RECONOCIDO POR ARMAR DIQUES?	CASTOR
¿EN QUÉ LOCALIDAD DE LA PROVINCIA DE BUENOS AIRES SE UNEN EL MAR ARGENTINO CON EL RÍO DE LA PLATA?	SAMBOROMBÓN
SEGÚN EL DICHO POPULAR, ¿CUÁNTAS VIDAS TIENE EL GATO?	SIETE
¿EN QUÉ CONTINENTE SE ENCUENTRA NEPAL?	ASIA
¿EN QUÉ PAÍS NACIÓ EL FAMOSO ESCRITOR PAULO COELHO?	BRASIL
SEGÚN LA QUINIELA, ¿QUÉ SIGNIFICA EL NÚMERO 99?	LOS HERMANOS
¿EN QUÉ CIUDAD EUROPEA SE ENCUENTRA EL MUSEO VAN GOGH?	AMSTERDAM
¿CUÁL ES EL NOMBRE OFICIAL DE MÉXICO?	ESTADOS UNIDOS MEXICANOS
¿CON CUÁL DE LAS SIGUIENTES PROVINCIAS LIMITA LA PROVINCIA DE BUENOS AIRES?	RÍO NEGRO
¿EN QUÉ PROVINCIA SE ENCUENTRA EL PARQUE NACIONAL LANÍN?	NEUQUÉN
¿QUÉ EQUIPO DE FÚTBOL DE LA PRIMERA DIVISIÓN JUEGA DE LOCAL EN EL ESTADIO JOSÉ AMALFITANI?	VÉLEZ SARSFIELD
¿EN QUÉ PROVINCIA ARGENTINA SE ENCUENTRA TAFÍ DEL VALLE?	TUCUMÁN
¿PARA QUÉ SE USA PRINCIPALMENTE UN DIAPASÓN?	PARA AFINAR INSTRUMENTOS MUSICALES
¿QUÉ SE LE INFLAMA A UNA PERSONA QUE SUFRE DE CISTITIS?	LA VEJIGA
¿A QUÉ SE CONOCE CON EL NOMBRE CHANCHO VA?	UN JUEGO DE CARTAS
¿QUE ZONA DEL CUERPO SE VE AFECTADA SI UNO PADECE DE HERNIA DE DISCO?	LA COLUMNA VERTEBRAL
SEGÚN EL DICHO POPULAR, ¿UNO ESTÁ PERDIDO COMO QUIÉN EN LA NEBLINA?	COMO UN TURCO
¿SOBRE QUÉ SUPERFICIE CAEN LOS DEPORTISTAS EN UNA COMPETENCIA OFICIAL DE SALTO EN LARGO?	ARENA
EN LA FAMOSA CANCIÓN PARA TOMAR EL TÉ DE MARÍA ELENA WALSH, ¿CON QUÉ ABRIGAN A LA LECHE?	CON UN SOBRETODO
¿A QUÉ HACE REFERENCIA EL TÉRMINO A ROLETE?	A MUCHA CANTIDAD
¿QUÉ ACTOR PROTAGONIZÓ JUNTO A CELESTE CID LA TELENOVELA RESISTIRÉ?	PABLO ECHARRI
¿QUÉ ES EL BOTULISMO?	UNA INTOXICACIÓN CAUSADA POR LOS ALIMENTOS
¿A QUÉ HACE REFERENCIA EL TÉRMINO BREXIT?	LA SALIDA DEL REINO UNIDO DE LA UNIÓN EUROPEA
¿CÓMO SE LLAMA EL MATERIAL ADHESIVO CASERO QUE SE PREPARA CON AGUA Y HARINA?	ENGRUDO
¿EN QUÉ CONTINENTE SE ENCUENTRA BELICE?	AMÉRICA
¿A QUÉ PAÍS PERTENECE HONG KONG?	CHINA
¿CON QUÉ OTRO NOMBRE SE HACE REFERENCIA A LA TEORÍA DEL CAOS?	EFECTO MARIPOSA
¿QUIÉN ERA EL PRESIDENTE ARGENTINO CUANDO SE PINTÓ POR PRIMERA VEZ LA CASA DE GOBIERNO DE ROSA?	DOMINGO FAUSTINO SARMIENTO
SEGÚN EL REFRÁN, A PALABRAS NECIAS, OIDOS&amp;#x2026; ¿CÓMO?	SORDOS
¿A QUÉ MOMENTO DEL DÍA HACE REFERENCIA LA PALABRA MATUTINO?	LA MAÑANA
¿QUÉ ES LA ACROFOBIA?	MIEDO A LAS ALTURAS
¿LA FALLA DE QUÉ ÓRGANO BUSCA REEMPLAZAR EL PROCESO DE DIÁLISIS?	RIÑÓN
¿QUÉ MIDE UN AERÓMETRO?	LA DENSIDAD DEL AIRE
¿EN QUÉ DEPORTE SE DESTACÓ MARCOS EL CHINO MAIDANA?	BOXEO
¿QUÉ CIUDAD ARGENTINA ES FAMOSA POR EL AVISTAMIENTO DE BALLENAS?	PUERTO MADRYN
¿EN QUÉ PAÍS NACIÓ EL POETA FEDERICO GARCÍA LORCA?	ESPAÑA
¿SOBRE QUÉ OBJETO VOLABA ALADDIN?	UNA ALFOMBRA
SEGÚN EL REFRÁN, ¿QUE TIENE LA MENTIRA?	PATAS CORTAS
¿A QUÉ PAÍS PERTENECE EL SERVICIO SECRETO CONOCIDO COMO MI-6&amp;#x201#x201D;?	INGLATERRA
¿QUE EFECTO CAUSA UN ANTITUSIVO?	DISMINUYE LA TOS
¿LA PSORIASIS ES UNA AFECCIÓN DE QUE PARTE DEL CUERPO?	LA PIEL
¿QUIEN COMPUSO TAQUITO MILITAR?	MARIANO MORES
¿QUÉ ES UNA VINCHUCA?	UN INSECTO
¿EN QUÉ CIUDAD DE JAPÓN FUE ARROJADA POR ESTADOS UNIDOS LA PRIMERA BOMBA NUCLEAR?	HIROSHIMA
¿EN QUÉ PAÍS QUEDA BAHÍA DE COCHINOS?	CUBA
¿CUÁL DE ESTAS LIGAS DE FÚTBOL EUROPEAS ES CONOCIDA COMO LA BUNDESLIGA? &amp;lt;BUNDESLÍGA&amp;gt;	ALEMANA
¿QUÉ EXPRESA UN ADJETIVO DEMOSTRATIVO?	UNA RELACIÓN DE LUGAR
¿EL ESTADIO DE QUÉ CLUB DE FÚTBOL ARGENTINO SE LLAMA JOSÉ AMALFITANI?	VÉLEZ SARSFIELD
¿CON QUÉ SOBRENOMBRE FUE CONOCIDO EL CRIMINAL ARGENTINO CAYETANO SANTOS GODINO?	EL PETISO OREJUDO
¿EN QUÉ PARTE DEL CUERPO SE ENCUENTRA EL MÚSCULO LLAMADO DELTOIDES?	HOMBRO
¿EN QUÉ CIUDAD SE LLEVA A CABO EL FESTIVAL DE CINE INDEPENDIENTE LLAMADO BAFICI?	BUENOS AIRES
¿A QUÉ CONTINENTE PERTENECE CHIPRE?	EUROPA
¿EN QUÉ CIUDAD EUROPEA SE ENCUENTRA LA PUERTA DE ALCALÁ?	MADRID
¿EN QUÉ CIUDAD ESTADOUNIDENSE SE ENCONTRABAN LAS TORRES GEMELAS?	NUEVA YORK
¿QUÉ PRESIDENTE DE ESTADOS UNIDOS AUTORIZÓ LOS LANZAMIENTOS DE LAS BOMBAS NUCLEARES SOBRE HIROSHIMA Y NAGASAKI?	HARRY TRUMAN
¿QUÉ PARENTESCO UNÍA A LUIS Y ROQUE SÁENZ PEÑA, AMBOS PRESIDENTES ARGENTINOS?	ROQUE ERA HIJO DE LUIS
¿QUÉ ES EL GULASH?	UN PLATO TÍPICO DE HUNGRÍA
¿CUÁL ES EL NOMBRE DE PILA DEL CONDUCTOR BETO CASELLA?	BAUTISTA
¿QUIÉN PROTAGONIZABA JUNTO A LALI ESPÓSITO LA TELENOVELA ESPERANZA MÍA?	MARIANO MARTÍNEZ
¿QUÉ ARTISTA POPULARIZÓ EL TEMA LO ATAMO CON ALAMBRE?	IGNACIO COPANI
¿QUIÉN FUE EL DIRECTOR DE LA FAMOSA PELÍCULA LA NARANJA MECÁNICA?	STANLEY KUBRICK
¿QUÉ TRANSMITE UNA PALABRA PEYORATIVA?	ALGO NEGATIVO
¿CON QUÉ ANIMAL SE ASOCIA DE MANERA PEYORATIVA AL INSPECTOR DEL TRANSPORTE PÚBLICO?	CHANCHO
¿DE QUÉ NACIONALIDAD ERA EL ESCRITOR PABLO NERUDA?	CHILENO
¿LA ENERGÍA DE QUÉ ELEMENTO SE UTILIZA EN LA FOTOSÍNTESIS?	EL SOL
¿CUÁNTOS DIENTES DE LECHE TIENE POR LO GENERAL UNA PERSONA EN SU NIÑEZ?	20
¿EN QUÉ DEPORTE ES TRADICIONAL EL TERCER TIEMPO?	RUGBY
¿QUÉ LIBRO SE SUELE ENCONTRAR EN LAS HABITACIONES DE HOTEL?	LA BIBLIA
¿A QUÉ TUBÉRCULO SE LE SUELE DECIR EN ALGUNOS PAÍSES PATATA?	PAPA
¿A QUÉ LE TIENE RECHAZO UNA PERSONA XENÓFOBA?	A LOS EXTRANJEROS
EN LA COMPOSICIÓN DE UNA ORACIÓN, ¿QUE PUEDE ESTAR DE FORMA TÁCITA?	EL SUJETO
¿A QUIÉN PERTENECE EL EAEAPEPE?	CARLITOS BALÁ
¿A QUÉ DEPARTAMENTO NOS REFERIMOS AL HABLAR DEL PENTHOUSE DEL EDIFICIO?	AL MÁS ALTO
¿EN QUÉ PROVINCIA SE ENCUENTRA EL VALLE DE TRASLASIERRA?	CÓRDOBA
¿CUÁNTOS METROS MIDE UNA PISTA DE ATLETISMO PROFESIONAL?	400 METROS
¿A QUÉ PARTIDO BONAERENSE PERTENECE LA CIUDAD DE ADROGUÉ?	ALMIRANTE BROWN
¿EN QUÉ CIUDAD RUSA SE ENCUENTRA LA FAMOSA PLAZA ROJA?	MOSCÚ
¿A QUÉ FAMOSO BOXEADOR SE LO APODABA MANO DE PIEDRA?	ROBERTO DURAN
¿QUÉ ACTOR INTERPRETÓ A BATMAN EN LA PELÍCULA BATMAN Y ROBIN?	GEORGE CLOONEY
¿QUIÉN ERA EL PRESIDENTE ARGENTINO CUANDO SE IMPLEMENTÓ EL PLAN AUSTRAL?	RAÚL ALFONSÍN
¿DE QUÉ PROVINCIA FUE GOBERNADOR HERMES BINNER?	SANTA FE
¿QUIÉN FUE VICEPRESIDENTE DE LA NACIÓN DURANTE EL PRIMER MANDATO DE CRISTINA FERNÁNDEZ?	JULIO COBOS
¿CUÁNTOS HIJOS TIENE EL PRESIDENTE DE LA NACIÓN MAURICIO MACRI?	4
¿QUÉ BANDA DE ROCK NACIONAL REALIZÓ UNA GIRA POR TODA AMÉRICA LLAMADA ME VERÁS VOLVER?	SODA STEREO
